fid,name,type,monster,img,message_enter,message_leave
150701,森林帝国堡,110101,5,3,"这是帝国军队在艾尔上建立的堡垒，驻扎着大量帝国士兵以用来侵略并控制艾尔
（需要穿透门）",你击败了森林帝国堡的司令，并从他那里获得了帝国对于艾尔星球的侵略计划书
150702,森林帝国堡,110102,0,53,曾经的帝国堡垒，现在这里安全了,曾经的帝国堡垒，现在这里安全了
150801,Dark部落,110101,15,23,"高傲、威武、好战的Dark部落，他们对人类抱有很强的敌对意识
（需要迷路之森地图）",你击败了Dark部落的勇者，他们终于承认了你，真可谓不打不相识
150802,Dark部落,110102,0,53,对人类态度转变了的高德族聚落,对人类态度转变了的高德族聚落
150901,Shadow部落,110101,15,23,神秘的Shadow部落，他们是高德族里的暗之执行者,你击败了Shadow部落的勇者，他们终于承认了你，真可谓不打不相识
150902,Shadow部落,110102,0,53,对人类态度转变了的高德族聚落,对人类态度转变了的高德族聚落
151001,光影议会,110101,25,61,"这里是高德族的权力中心，光影议会。你能说服他们，让他们成为格瓦拉的同伴吗？
（需要绿林之心）",你击败了高德族的主宰，高傲的高德族战士们想要集体自尽，你拦住了他们，并恳请他们将力量借给你
151002,光影议会,110102,0,53,这里是高德族的权力中心，光影议会,这里是高德族的权力中心，光影议会
151101,失落圣殿,110301,3,25,"这里是高德族的神秘祭坛，失落圣殿。你若是想使用高德族的星门，必须先击破守卫祭坛的自动化装置
（需要失落圣殿的石板）",你击破了自动化母舰。现在你可以使用高德族的星门，前往别的星球了！
151102,失落圣殿,110302,0,26,"要去往 殖民卫星·瑞曲 吗？","要去往 殖民卫星·瑞曲 吗？"
160101,地下竞技殿,110201,8,49,欢迎来到地下竞技殿，战胜对手将会获得身份识别牌，死亡或中途退出都不会获得奖励，请谨慎决定,你战胜了全部的对手，欢迎你随时再来挑战
160201,前线战壕,110101,3,71,这是一个由帝国建立的前线战壕，用以抵抗星盟的进攻,你击退了这里的士兵，现在这里归你了
160202,前线战壕,110102,0,53,用以抵抗星盟进攻的前线战壕,用以抵抗星盟进攻的前线战壕
160301,感化院,100601,0,57,"一个收留战争孤儿的感化院。如果你愿意，可以领养几个孩子
（招募的伙伴会自动回到Bravery勇气号）",
160401,军火市场,100501,0,43,一个由依靠战争发横财的军火商建立的地下黑市，或许你能淘到一些宝贝,
160501,灵核遗迹,110101,5,77,"一个古老的黑科技遗迹，如果你想要探索，请小心各种危险的机关陷阱
（需要虹膜破解器）",你解除了全部的机关陷阱，现在这里安全了
160502,灵核遗迹,110102,0,78,一个由你管辖的黑科技遗迹,一个由你管辖的黑科技遗迹
160601,三钛合金工厂,110101,5,37,"一座早已关闭的三钛合金工厂，或许你可以让它恢复生产
（需要虹膜破解器）",你整顿了这里，现在你可以让它恢复生产了
160602,三钛合金工厂,110102,0,38,一座由你管辖的三钛合金工厂,一座由你管辖的三钛合金工厂
160701,前线帝国堡,110101,5,3,"这是帝国军队在瑞曲上建立的堡垒，驻扎着大量帝国士兵以用来对抗星盟
（需要穿透门）",你击败了前线帝国堡的司令，并从他那里获得了帝国对于星盟的作战计划书
160702,前线帝国堡,110102,0,53,曾经的帝国堡垒，现在这里安全了,曾经的帝国堡垒，现在这里安全了
160801,星盟空中基地,110101,15,3,"这是星盟在瑞曲星上建立的空中基地，用以抵抗帝国的进攻
（需要猎鹰号飞空艇）",你击破了星盟战舰并获得了卫星对接装置
160802,星盟空中基地,110102,0,53,曾经的星盟空中基地，现在这里安全了,曾经的星盟空中基地，现在这里安全了
160901,瑞曲联络站,110101,15,3,这是一个由帝国建立的联络站，用以进行信息、情报的交换,你击退了这里的士兵，现在这里归你了
160902,瑞曲联络站,110102,0,53,用以进行信息、情报交换的联络站,用以进行信息、情报交换的联络站
161001,星盟光晕卫星,110101,30,19,"“光晕”，这是星盟建造的大型卫星武器，有着能毁灭一颗行星的破坏力！
（需要卫星对接装置）",你击败了星盟先知，并从它那里获得了“光晕”的控制器。为了保险起见，你启动了“光晕”的自毁程序
161002,星盟光晕卫星,110102,0,53,由你破坏掉的光晕卫星残骸,由你破坏掉的光晕卫星残骸
161101,星盟母港,110301,3,25,"由星盟控制的瑞曲星港，原本用来与别的星球进行宇宙间航行的往来
（需要猎鹰号飞空艇）",你击破了星盟战舰。现在你可以重启星港，前往别的星球了
161102,星盟母港,110302,0,26,"要去往 边境行星·密特罗德 吗？","要去往 边境行星·密特罗德 吗？"
170101,地下竞技殿,110201,8,49,欢迎来到地下竞技殿，战胜对手将会获得身份识别牌，死亡或中途退出都不会获得奖励，请谨慎决定,你战胜了全部的对手，欢迎你随时再来挑战
170201,海盗据点,110101,3,75,这里是宇宙海盗的据点，要小心它们的袭击,你清除了这里的威胁，现在这里安全了
170202,海盗据点,110102,0,53,这里已经清除了威胁,这里已经清除了威胁
170301,边境基地,100501,0,43,一些疯狂的探险者与考古学者建立的基地，或许你能淘到一些宝贝,
170401,猎人驻扎地,100601,0,57,"一个由银河猎人建立的驻扎地。只要你支付足够的钱，他们就会受雇于你
（招募的伙伴会自动回到Bravery勇气号）",
170501,反应堆,110101,8,27,"一座早已关闭的反应堆，或许你可以让它重新启动
（需要基因破解器）",你整顿了这里，现在你可以让它重新启动了
170502,反应堆,110102,0,28,一座由你管辖的反应堆,一座由你管辖的反应堆
170601,三钛合金工厂,110101,8,37,"一座早已关闭的三钛合金工厂，或许你可以让它恢复生产
（需要基因破解器）",你整顿了这里，现在你可以让它恢复生产了
170602,三钛合金工厂,110102,0,38,一座由你管辖的三钛合金工厂,一座由你管辖的三钛合金工厂
170701,鸟人族遗迹,110101,8,77,"一个古老的鸟人族遗迹，如果你想要探索，请小心各种危险的机关陷阱
（需要穿透门）",你解除了全部的机关陷阱，现在这里安全了
170702,鸟人族遗迹,110102,0,53,一个由你管辖的鸟人族遗迹,一个由你管辖的鸟人族遗迹
170801,疫苗工厂,110101,15,29,"密特罗德星上神秘的建筑，表面上是研究病毒寄生体抗体和疫苗的工厂
（需要病原体）",你在工厂深处找到了抗体疫苗。有了它，你就能够进入中央控制塔而不必担心被病毒感染成行尸走肉了
170802,疫苗工厂,110102,0,53,已经停止生产的疫苗工厂,已经停止生产的疫苗工厂
170901,病毒实验室,110101,15,29,密特罗德星上神秘的建筑，实际上是研究病毒及生化武器的实验室,你消灭掉了这里的病毒和怪物，现在这里安全了
170902,病毒实验室,110102,0,53,你消灭掉了这里的病毒和怪物，现在这里安全了,你消灭掉了这里的病毒和怪物，现在这里安全了
171001,中央控制塔,110101,30,61,"密特罗德星上神秘的建筑，实际上是用来控制各类密特罗德生物的中央塔台
（需要抗体疫苗）",经过一番激斗，你终于消灭掉了母脑！中央塔台的控制机能，终于被你摧毁了
171002,中央控制塔,110102,0,53,静静伫立着的中央控制塔,静静伫立着的中央控制塔
171101,鸟人族密道,110301,3,25,"曾经鸟人族修建的密道，据说通向地心的暗黑监狱
（需要鸟人族遗产）",你找到了密道的出入口。现在你可以通过密道，去往暗黑监狱了！
171102,鸟人族密道,110302,0,26,"要去往 暗黑监狱 吗？","要去往 暗黑监狱 吗？"
180101,地下竞技殿,110201,10,49,欢迎来到地下竞技殿，战胜对手将会获得身份识别牌，死亡或中途退出都不会获得奖励，请谨慎决定,你战胜了全部的对手，欢迎你随时再来挑战
180201,牢房,110101,3,51,这是暗黑监狱用来关押囚犯的牢房。阴暗、潮湿，让人由心底产生不快,你清除了这里的威胁，现在这里安全了
180202,牢房,110102,0,53,一间无人的牢房,一间无人的牢房
180301,秘密乐园,100501,0,43,由暗黑监狱里的一些犯人们所建立的秘密乐园。不进去看看嘛？,
180401,反应堆,110101,8,27,"一座早已关闭的反应堆，或许你可以让它重新启动
（需要基因破解器）",你整顿了这里，现在你可以让它重新启动了
180402,反应堆,110102,0,28,一座由你管辖的反应堆,一座由你管辖的反应堆
180501,月神合金工厂,110101,8,37,"一座早已关闭的月神合金工厂，或许你可以让它恢复生产
（需要基因破解器）",你整顿了这里，现在你可以让它恢复生产了
180502,月神合金工厂,110102,0,38,一座由你管辖的月神合金工厂,一座由你管辖的月神合金工厂
180601,看守室,110101,8,41,"由暗黑监狱三巨头之一，监狱看守长掌管的看守室
（需要基因破解器）",你击败了监狱看守长，并获得了看守臂章
180602,看守室,110102,0,53,暗黑监狱的看守室,暗黑监狱的看守室
180701,总控制室,110101,15,19,"由暗黑监狱三巨头之一，监狱牢番长掌管的，悬浮在暗黑监狱中央的总控制室
（需要猎鹰号飞空艇）",你击败了监狱牢番长，并获得了地心实验室大门的开启开关
180702,总控制室,110102,0,53,静静悬浮着的暗黑监狱总控制室,静静悬浮着的暗黑监狱总控制室
180801,分控制室,110101,15,19,这是一个悬浮在半空中的暗黑监狱分控制室,你解除了这里的警报，并解放了部分被关押的正义人士
180802,分控制室,110102,0,53,静静悬浮着的暗黑监狱分控制室,静静悬浮着的暗黑监狱分控制室
180901,地心实验室,110101,35,19,"由暗黑监狱署长坐镇，位于暗黑监狱最深层的地心实验室
（需要实验室开关）",你击败了监狱署长，并解放了被关押在暗黑监狱的原“鹿组织”的全部正义人士
180902,地心实验室,110102,0,53,被你摧毁掉的地心实验室,被你摧毁掉的地心实验室
181001,帝国星门,110301,3,25,"由暗黑监狱三巨头之一，监狱狱卒长掌管的，连接奥赛帝国的传送星门
（需要门禁卡（伪））",你击败了监狱狱卒长。当你购买了地图包“决战卡森廷”后，就可以前往奥赛帝国了
181002,帝国星门,110302,0,26,"要去往 奥赛帝国 吗？","要去往 奥赛帝国 吗？"
190101,地下竞技殿,110201,10,49,欢迎来到地下竞技殿，战胜对手将会获得身份识别牌，死亡或中途退出都不会获得奖励，请谨慎决定,你战胜了全部的对手，欢迎你随时再来挑战
190201,地堡,110101,3,73,由帝国建立的防御工事，数量巨多而又易守难攻,你消灭了这里的帝国士兵，现在这里安全了
190202,地堡,110102,0,53,空无一人的防御工事,空无一人的防御工事
190301,战舰工厂,100601,0,57,"这是一个制造宇宙战争用舰船的造船厂。如果你有足够的钱，也可大建一艘
（招募的伙伴会自动回到Bravery勇气号）",
190401,Anaheim实验室,100501,0,43,一个汇集了各类科学界精英的实验室。只要肯虚心向他们请教，总能获得些什么,
190501,帝国东方堡,110101,8,3,"这是奥赛帝国在本土上建立的五大堡垒之一，四周环绕的城墙上没有一扇可供进出的大门
（需要穿透门）",你击败了帝国东方堡的司令，并在司令室搜集到了LK2星人的部分罪证
190502,帝国东方堡,110102,0,53,曾经的帝国堡垒，现在这里安全了,曾经的帝国堡垒，现在这里安全了
190601,帝国西方堡,110101,8,3,"这是奥赛帝国在本土上建立的五大堡垒之一，四周环绕的城墙上没有一扇可供进出的大门
（需要穿透门）",你击败了帝国西方堡的司令，并在司令室搜集到了LK2星人的部分罪证
190602,帝国西方堡,110102,0,53,曾经的帝国堡垒，现在这里安全了,曾经的帝国堡垒，现在这里安全了
190701,帝国南方堡,110101,8,3,"这是奥赛帝国在本土上建立的五大堡垒之一，四周环绕的城墙上没有一扇可供进出的大门
（需要穿透门）",你击败了帝国南方堡的司令，并在司令室搜集到了LK2星人的部分罪证
190702,帝国南方堡,110102,0,53,曾经的帝国堡垒，现在这里安全了,曾经的帝国堡垒，现在这里安全了
190801,帝国北方堡,110101,8,3,"这是奥赛帝国在本土上建立的五大堡垒之一，四周环绕的城墙上没有一扇可供进出的大门
（需要穿透门）",你击败了帝国北方堡的司令，并在司令室搜集到了LK2星人的部分罪证
190802,帝国北方堡,110102,0,53,曾经的帝国堡垒，现在这里安全了,曾经的帝国堡垒，现在这里安全了
190901,LK2星人驻点,110101,8,61,"这是LK2星人在奥赛帝国本土上建立的驻点，DNA扫描装置的存在使得只有LK2星人才能自由进出
（需要基因破解器）",你击破了这个据点，并扫清了一切阻挡在你面前的LK2星侵略者
190902,LK2星人驻点,110102,0,53,被你肃清的LK2星人据点,被你肃清的LK2星人据点
191001,LK2星人基地,110101,8,61,"这是LK2星人在奥赛帝国本土上建立的基地，DNA扫描装置的存在使得只有LK2星人才能自由进出
（需要基因破解器）",你铲除了这个基地，并扫清了一切阻挡在你面前的LK2星侵略者
191002,LK2星人基地,110102,0,53,被你肃清的LK2星人基地,被你肃清的LK2星人基地
191101,帝国联络站,110101,15,19,"负责在LK2星人和帝国军方高层之间进行信息、情报交换联络的中转站
（需要基因破解器）",你破坏掉了这个联络站，并在搜集整理资料时获得了帝国中央堡进出闸门的开启按钮
191102,帝国联络站,110102,0,53,被你端掉的联络站,被你端掉的联络站
191201,废弃的联络站,110101,15,19,"因为位置暴露，而已经被废弃的联络中转站
（需要基因破解器）",你消灭掉了盘踞在这里的一切敌人，无论它是LK2星人还是帝国军人
191202,废弃的联络站,110102,0,53,早已废弃的联络站,早已废弃的联络站
191301,帝国中央堡,110101,35,19,"这是奥赛帝国在本土上建立的最大堡垒，号称“无敌之盾”的帝国中央堡
（需要中央堡闸门按钮）",没想到LK2星巨神也来帮着帝国军人一起守卫中央堡。但它们最终还是败在了你强大的攻势面前
191302,帝国中央堡,110102,0,53,曾经的“无敌之盾”......,曾经的“无敌之盾”......
191401,帝国海上堡,110301,3,25,"这是奥赛帝国在领海内建立的海上堡垒，号称“不沉战舰”的帝国海上堡
（需要猎鹰号飞空艇）",你搭乘猎鹰号成功登陆了帝国海上堡，并最终击沉了这艘“不沉战舰”。现在你可以使用这里的星门，转移到首都卡森廷了！
191402,帝国海上堡,110302,0,26,"要去往 帝都·卡森廷 吗？","要去往 帝都·卡森廷 吗？"
200101,损坏的建筑,110101,3,71,原本应该是温暖的家，现在却成了战场上最佳的掩体,你击退了这些变得疯狂的市民，并暗下决心一定要帮他们解除洗脑
200102,损坏的建筑,110102,0,53,因为战乱而损坏的建筑,因为战乱而损坏的建筑
200201,帝都市政府,100501,0,43,部分还保持着心智的公务人员依然坚持在岗位上，他们愿意向你提供一些关于LK2星人的情报,
200301,帝都市立医院,100501,0,1,部分还保持着心智的医护人员依然坚持在岗位上，他们愿意向你提供一些先进的医疗设备,
200401,金矿,110101,8,13,"一座因为战乱而停产的金矿，或许你可以让它恢复生产
（需要穿透门）",你整顿了这里，现在你可以让它恢复生产了
200402,金矿,110102,0,14,一座属于你的金矿,一座属于你的金矿
200501,SP-X工厂,110101,8,41,"用来生产制造SP-X型人工智能的工厂
（需要穿透门）",你破坏掉了这个工厂，并缴获了流水线上全部剩余的思维晶片
200502,SP-X工厂,110102,0,53,已经停产的SP-X工厂,已经停产的SP-X工厂
200601,秘密警察总部,110101,15,19,"这里是秘密警察的总部。静静等待着你的是，秘密警察的首脑
（需要LK2计划书）",你击败了黑魔鬼，并斩下了它的头颅。它的头颅内嵌有无线发射装置，能帮你激活帝国司令部的验证锁
