iid,name,summary
110607,琥珀望远镜,[琥珀望远镜]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110608,天启默示录,[天启默示录]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110609,电波发射器,[电波发射器]在地图[荒漠行星·塔图因]中[爪哇人集市]可买到
110610,小型聚变堆,[小型聚变堆]在地图[冰雪行星·霍斯]中[极地科考站]可买到
110611,怪异补丁,[怪异补丁]在地图[奥赛帝国]中[Anaheim实验室]可买到
110612,HyB晶片,[HyB晶片]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110613,驾驶证,[驾驶证]在地图[废弃卫星·边境7]中[后街小巷]可买到
110614,冠状差速器,[冠状差速器]在地图[火山行星·查尔]中[Quattro实验室]可买到
110615,卡尔设备,[卡尔设备]在地图[奥赛帝国]中[Anaheim实验室]可买到
110616,黄金涂层,[黄金涂层]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110617,精神骨架,[精神骨架]在地图[暗黑监狱]中[秘密乐园]可买到
110618,斩舰刀,[斩舰刀]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110619,航行推进器,[航行推进器]在地图[殖民卫星·瑞曲]中[军火市场]可买到
110620,龙卷风背包,[龙卷风背包]在地图[奥赛帝国]中[Anaheim实验室]可买到
110621,Vajra水晶,[Vajra水晶]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110622,温室稀土,[温室稀土]在地图[殖民卫星·瑞曲]中[军火市场]可买到
110623,剧毒珠,[剧毒珠]在地图[奥赛帝国]中[Anaheim实验室]可买到
110624,异种融合器,[异种融合器]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110627,机械外骨骼,[机械外骨骼]在地图[帝都·卡森廷]中[帝都市立医院]可买到
110628,灵魂融合器,[灵魂融合器]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110629,觉醒石,[觉醒石]在地图[暗黑监狱]中[秘密乐园]可买到
110630,铁血项链,[铁血项链]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110631,X胶囊,[X胶囊]在地图[帝都·卡森廷]中[帝都市立医院]可买到
110632,零式能量服,[零式能量服]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
110633,?黑科技,[?黑科技]在地图[圣山·格鲁赛特]中[山中藏宝阁]通过战斗可获得
111217,流星耳饰,[流星耳饰]在地图[废弃卫星·边境7]中[陨石坑]通过战斗可获得
111219,黑铁组袖章,[黑铁组袖章]在地图[废弃卫星·边境7]中[黑铁组总部]通过战斗可获得
111220,大气结晶  ,[大气结晶]在地图[废弃卫星·边境7]中[废弃星港]通过战斗可获得
111222,化石头骨,[化石头骨]在地图[荒漠行星·塔图因]中[塔斯肯据点]通过战斗可获得
111224,水晶头骨,[水晶头骨]在地图[荒漠行星·塔图因]中[塔斯肯大本营]通过战斗可获得
111225,黄金头骨,[黄金头骨]在地图[荒漠行星·塔图因]中[塔图因星港]通过战斗可获得
111227,霍斯计划书,[霍斯计划书]在地图[冰雪行星·霍斯]中[冰雪帝国堡]通过战斗可获得
111229,如月沙罗戒,[如月沙罗戒]在地图[冰雪行星·霍斯]中[披雪大冰壁]通过战斗可获得
111230,冰川水,[冰川水]在地图[冰雪行星·霍斯]中[冰封星港]通过战斗可获得
111232,炸弹灰,[炸弹灰]在地图[火山行星·查尔]中[隔离区]通过战斗可获得
111234,虫群之心,[虫群之心]在地图[火山行星·查尔]中[母巢]通过战斗可获得
111235,巨螫针,[巨螫针]在地图[火山行星·查尔]中[蜂场]通过战斗可获得
111237,艾尔计划书,[艾尔计划书]在地图[森林行星·艾尔]中[森林帝国堡]通过战斗可获得
111239,虚空之遗,[虚空之遗]在地图[森林行星·艾尔]中[光影议会]通过战斗可获得
111240,永久指针,[永久指针]在地图[森林行星·艾尔]中[失落圣殿]通过战斗可获得
111242,瑞曲计划书,[瑞曲计划书]在地图[殖民卫星·瑞曲]中[前线帝国堡]通过战斗可获得
111244,光晕控制器,[光晕控制器]在地图[殖民卫星·瑞曲]中[星盟光晕卫星]通过战斗可获得
111245,航班时刻表,[航班时刻表]在地图[殖民卫星·瑞曲]中[星盟母港]通过战斗可获得
111247,幼体密特罗德,[幼体密特罗德]在地图[边境行星·密特罗德]中[鸟人族遗迹]通过战斗可获得
111249,琉璃器皿,[琉璃器皿]在地图[边境行星·密特罗德]中[中央控制塔]通过战斗可获得
111250,海盗的宝藏,[海盗的宝藏]在地图[边境行星·密特罗德]中[鸟人族密道]通过战斗可获得
111252,看守臂章,[看守臂章]在地图[暗黑监狱]中[看守室]通过战斗可获得
111254,HyB电波试验机,[HyB电波试验机]在地图[暗黑监狱]中[地心实验室]通过战斗可获得
111255,崭新的囚服,[崭新的囚服]在地图[暗黑监狱]中[帝国星门]通过战斗可获得
111257,LK2星人罪证,[LK2星人罪证]在地图[奥赛帝国]中通过战斗可获得
111260,思维晶片,[思维晶片]在地图[帝都·卡森廷]中[SP-X工厂]通过战斗可获得
111262,十字军勋章,[十字军勋章]在地图[帝都·卡森廷]中[帝国司令部]通过战斗可获得
111263,猎鹰号模型,[猎鹰号模型]在地图[帝都·卡森廷]中[飞空艇基地]通过战斗可获得
111265,黄道之冠,[黄道之冠]在地图[鹿的圣殿]中[皇帝行宫]通过战斗可获得
111267,起源石,[起源石]在地图[鹿的圣殿]中[起源祭坛]通过战斗可获得
111268,HyB电波发射器,[HyB电波发射器]在地图[鹿的圣殿]中[LK2星人指挥中心]通过战斗可获得
